Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
Sample_BkSQ.214_005.fq,0,0,0,0,0.01424995261395199,0,0.012796443062271743,0.011679944857385032,0,0,0.03832608249103306,0,0,0,0.001282356729032767,0,0,0.010993775567463124,0,0.06789214463930841,0.05021011459971316,0.7925691854398408,0,0.4850534466381291,1.0534452989412366
Sample_BkSQ.34_007.fq,0,0.025752686011085445,0.0022130551377211637,0.04226736549146943,0,0.13348313616295623,0.020030245807335246,0,0,0,0.01579144394251855,0.011810261198441724,0.015954294651795417,0.5317560575649297,0.007999822754398837,0.06543898765786184,0.00982379402723504,0.002407873417904492,0.021747402903275127,0,0.015406615874000515,0.07811695739707127,0,0.27202429507950454,1.02509441937529
Sample_BkSQ.35_012.fq,0,0.3011108619745422,0,0,0,0.031228120856149337,0,0.016387500095165587,0.006280743860514236,0,0.025449311584072248,0,0.07691015075246138,0.03941264769865215,0,0,0,0.02333417561006835,0,0.06886589931075462,0.027263375517770815,0.3837572127398491,0,0.48960645563425287,0.8841675752371948
Sample_BkSQ.37_004.fq,0.005665564798906554,0,0,0,0,0.03463489327979573,0.03180305800914515,0.011959160165641022,0,0,0.02954277060006742,0,0,0,0.0012288315695609124,0,0,0.004521393057397885,0,0.0352546158772775,0.027814751441256,0.8175749612009517,0,0.5763184386429615,0.9674236617344342
Sample_BkSQ.41_012.fq,0.013133258627908678,0,0,0.013806126396385307,0,0.13456548771928692,0.02854395499675279,0,0,0,0.034967743829809064,0,0,0.48332973505463844,0.0016774281469822598,0.026273511878767447,0.003865005036307625,0,0,0.0298771820911552,0.07924990859006631,0.15071065763194,0,0.2560885885336089,1.0336560359052194
Sample_BkSQ.42_002.fq,0,0,0,0,0,0.030537236414248433,0,0.0051163273028788205,0,0,0,0.022975215184786367,0,0.1645203529328082,0,0.02001522880462059,0.0947702324203385,0.013616721398295902,0,0.12924279774594294,0.16348426947451458,0.3557216183215657,0,0.563461204962321,0.8337559299229856
Sample_BkSQ.44_004.fq,0.003305681512061704,0,0,0.01171096000564525,0,0.13093403236866286,0.02474470785364842,0,0,0,0.04952353541255015,0,0.03368730055714024,0.4864472458262837,0.0018669019067824573,0.03318479279817754,0.0038611501400114007,0,0,0.02079647126979644,0.03324372564169848,0.1666934947075414,0,0.3967799181041687,0.9478777810531054
Sample_BkSQ.47_006.fq,0.01205611401706627,0,0.008201734825499966,0.0224494328851279,0,0.09082360069434192,0.0009,0.006552659335278074,0.014589938354865734,0,0.019763997777153385,0,0,0.4729826572468172,0.007285019607190419,0.06329054884863736,0,0.006439865261664932,0,0.06386483610043098,0.10334071311478889,0.10745565110764366,0,0.2341346501344364,1.0441509025534201
Sample_BkSQ.209_007.fq,0.010262499073899775,0,0.010837344420883696,0,0,0.07819805577652489,0.030569723782722387,0.018609783200204993,0,0,0.04194832270303281,0,0,0.16781736730123795,0,0.004647617129872131,0.002667853895924634,0.024068253048945294,0,0.01205158573711022,0.07691380644786833,0.521407787481773,0,0.5658066646455729,0.8532125622265191
Sample_BkSQ.48_007.fq,0.007261592325775129,0,0.0007,0.018746800986309126,0,0.12872116961199845,0.0019493609830876424,0,0,0,0.028863963282589587,0,0,0.33950131569995906,0.007622300523212767,0.057160856312757725,0,0.005050304665101555,0,0.12942503287395898,0.10131524188404453,0.1736628617579724,0,0.2994852450302216,0.9947465703530951
Sample_BkSQ.49_006.fq,0,0,0.0018543825121417974,0,0,0.13760068816921178,0.027848138239815728,0.01935017948537608,0,0,0,0,0.2573516740295672,0.17734379972694192,0,0,0.0026476845644777995,0.030241665270407544,0,0.017222486468557032,0.06179388467735793,0.2667454168561452,0,0.40896366618518104,0.9349406020247781
Sample_BkSQ.52_002.fq,0,0,0,0,0,0.08546018376743592,0.008559286939769685,0,0,0,0.016340944657072046,0,0.02888938032436309,0.24595070347766507,0,0.01523161973253281,0.0062823868515648525,0.08762894728887581,0,0,0.1944822279069381,0.3111743190537827,0,0.5411528546165465,0.8472297530526629
